date,pred,calculated_at
2020-08-04,4650.073,2024-08-21 23:55:35.759359
2020-08-05,5073.5244,2024-08-21 23:55:35.759359
2020-08-06,5191.402,2024-08-22 08:13:08.268594
2020-08-07,4442.677,2024-08-22 08:13:08.268594
2020-08-08,2296.0303,2024-08-22 08:13:08.268594
2020-08-09,1284.4226,2024-08-22 08:13:08.268594
2020-08-10,5240.1035,2024-08-22 08:13:08.268594
2020-08-11,4873.629,2024-08-22 08:13:08.268594
2020-08-12,4808.4053,2024-08-22 08:13:08.268594
2020-08-13,5268.482,2024-08-22 06:56:37.126684
2020-08-14,4068.9495,2024-08-22 06:56:37.126684
2020-08-15,2696.594,2024-08-22 06:56:37.126684
2020-08-16,1415.5234,2024-08-22 06:56:37.126684
2020-08-17,5220.608,2024-08-22 06:56:37.126684
2020-08-18,4710.327,2024-08-22 06:56:37.126684
2020-08-19,4237.7812,2024-08-22 06:56:37.126684
2020-08-20,4479.326,2024-08-22 08:01:50.665507
2020-08-21,3237.2368,2024-08-22 08:01:50.665507
2020-08-22,2234.9648,2024-08-22 08:01:50.665507
2020-08-23,1207.9382,2024-08-22 08:01:50.665507
2020-08-24,4195.2563,2024-08-22 08:01:50.665507
2020-08-25,4000.9504,2024-08-22 08:01:50.665507
2020-08-26,4159.968,2024-08-22 08:01:50.665507
2020-08-27,4045.3394,2024-08-23 01:44:02.855644
2020-08-28,3027.722,2024-08-23 01:44:02.855644
2020-08-29,1539.0688,2024-08-23 01:44:02.855644
2020-08-30,668.2815,2024-08-23 01:44:02.855644
2020-08-31,4584.255,2024-08-23 01:44:02.855644
2020-09-01,5175.878,2024-08-23 01:44:02.855644
2020-09-02,5013.1904,2024-08-23 01:44:02.855644
2020-09-03,5185.686,2024-08-22 06:46:19.057399
2020-09-04,4556.8594,2024-08-22 06:46:19.057399
2020-09-05,2805.353,2024-08-22 06:46:19.057399
2020-09-06,1752.046,2024-08-22 06:46:19.057399
2020-09-07,5887.01,2024-08-22 06:46:19.057399
2020-09-08,5133.0845,2024-08-22 06:46:19.057399
2020-09-09,4088.9219,2024-08-22 06:46:19.057399
2020-09-10,3959.344,2024-08-23 00:56:37.196543
2020-09-11,3240.7917,2024-08-23 00:56:37.196543
2020-09-12,1910.5594,2024-08-23 00:56:37.196543
