date,cantidad_entregas,is_holiday,holiday_name,weekday,tipo_feriado
2020-08-18,4483,false,,2,0
2020-08-19,4290,false,,3,0
2020-08-20,4297,true,Muharram/New Year,4,2
2020-08-21,4073,false,,5,0
2020-08-22,2286,false,,6,-1
2020-08-23,640,false,,7,-1
2020-08-24,4469,false,,1,0
2020-08-25,4242,false,,2,0
2020-08-26,4006,false,,3,0
2020-08-27,4359,false,,4,0
2020-08-28,4430,false,,5,0
2020-08-29,2075,false,,6,-1
2020-08-30,574,false,,7,-1
2020-08-31,3485,false,,1,0
2020-09-01,3804,false,,2,0
2020-09-02,3365,false,,3,0
2020-09-03,3321,false,,4,0
2020-09-04,3245,false,,5,0
2020-09-05,1424,false,,6,-1
2020-09-06,346,false,,7,-1
2020-09-07,3513,false,,1,0
2020-09-08,3703,false,,2,0
2020-09-09,3610,false,,3,0
2020-09-10,3508,false,,4,0
2020-09-11,3361,false,,5,0
2020-09-12,1373,false,,6,-1
2020-09-13,459,false,,7,-1
2020-09-14,3503,false,,1,0
2020-09-15,3381,false,,2,0
2020-09-16,3667,false,,3,0
2020-09-17,3578,false,,4,0
2020-09-18,3313,true,Rosh Hashana Eve,5,2
2020-09-19,1545,true,Rosh Hashana,6,2
2020-09-20,449,true,Second Day of Rosh Hashana,7,2
2020-09-21,3365,false,,1,0
2020-09-22,3418,false,,2,0
2020-09-23,3843,false,,3,0
2020-09-24,3851,false,,4,0
2020-09-25,3900,false,,5,0
2020-09-26,1668,false,,6,-1
2020-09-27,628,true,Yom Kippur Eve,7,2
2020-09-28,3381,true,Yom Kippur,1,2
2020-09-29,3747,false,,2,0
2020-09-30,3548,false,,3,0
2020-10-01,3531,false,,4,0
2020-10-02,4094,false,,5,0
2020-10-03,2140,false,,6,-1
2020-10-04,846,false,,7,-1
2020-10-05,4536,false,,1,0
2020-10-06,4583,false,,2,0
2020-10-07,4839,false,,3,0
2020-10-08,4762,false,,4,0
2020-10-09,4184,false,,5,0
2020-10-10,2071,false,,6,-1
2020-10-11,764,false,,7,-1
2020-10-12,1689,true,Day of Respect for Cultural Diversity,1,2
2020-10-13,3711,false,,2,0
2020-10-14,3884,false,,3,0
2020-10-15,4641,false,,4,0
2020-10-16,4078,false,,5,0
2020-10-17,1876,false,,6,-1
2020-10-18,510,true,Mothers' Day,7,2
2020-10-19,3840,false,,1,0
2020-10-20,3652,false,,2,0
2020-10-21,3709,false,,3,0
2020-10-22,3625,false,,4,0
2020-10-23,3942,false,,5,0
2020-10-24,1700,false,,6,-1
2020-10-25,466,false,,7,-1
2020-10-26,3656,false,,1,0
2020-10-27,3378,false,,2,0
2020-10-28,3266,false,,3,0
2020-10-29,3368,false,,4,0
2020-10-30,2977,false,,5,0
2020-10-31,1449,false,,6,-1
2020-11-01,322,false,,7,-1
2020-11-02,3719,false,,1,0
2020-11-03,3723,false,,2,0
2020-11-04,3572,false,,3,0
2020-11-05,3662,false,,4,0
