date,true,pred,pred_corrected
2020-09-22,3418.0,3385.8142,3400.4194
2020-09-23,3843.0,3475.242,3509.0327
2020-09-24,3851.0,3251.2898,3474.3887
2020-09-25,3900.0,3128.6572,3371.9443
2020-09-26,1668.0,1710.6453,1966.9631
2020-09-27,628.0,622.9883,653.95514
2020-09-28,3381.0,3329.58,3500.8289
2020-09-29,3747.0,3286.3489,3372.9983
2020-09-30,3548.0,3688.2646,3888.8823
2020-10-01,3531.0,3862.488,3858.2947
2020-10-02,4094.0,3310.817,3222.381
2020-10-03,2140.0,1614.9973,1931.6824
2020-10-04,846.0,576.79956,858.092
2020-10-05,4536.0,3449.854,3693.0723
2020-10-06,4583.0,3353.7964,3778.2961
2020-10-07,4839.0,3610.9836,4102.6104
2020-10-08,4762.0,3496.7085,4043.5327
2020-10-09,4184.0,3791.924,4275.365
2020-10-10,2071.0,1954.2186,2176.7031
2020-10-11,764.0,971.22,1169.1223
2020-10-12,1689.0,3781.1035,3710.408
2020-10-13,3711.0,3785.252,3173.4597
2020-10-14,3884.0,4210.9824,4193.8384
2020-10-15,4641.0,3966.1504,3720.8215
2020-10-16,4078.0,3629.3564,3936.0867
2020-10-17,1876.0,1600.5452,1944.3279
2020-10-18,510.0,360.56372,639.5171
2020-10-19,3840.0,3001.651,3439.336
2020-10-20,3652.0,3077.3623,3478.5327
2020-10-21,3709.0,3531.1572,3803.6267
2020-10-22,3625.0,3670.8528,3833.2551
2020-10-23,3942.0,3462.6357,3438.0059
2020-10-24,1700.0,1905.7349,1991.5184
2020-10-25,466.0,836.0044,907.5005
2020-10-26,3656.0,3495.635,3442.9026
2020-10-27,3378.0,3470.4536,3525.289
2020-10-28,3266.0,2961.0645,2973.1855
2020-10-29,3368.0,3350.6965,3665.5845
2020-10-30,2977.0,3321.1577,3368.6226
2020-10-31,1449.0,1731.2979,1804.6827
2020-11-01,322.0,-75.244385,-58.720398
2020-11-02,3719.0,3662.5598,3782.7576
2020-11-03,3723.0,3672.934,3746.6055
2020-11-04,3572.0,3813.7185,3876.6145
2020-11-05,3662.0,3625.1357,3507.784
2020-11-06,3174.0,3056.5425,3231.7095
2020-11-07,1547.0,1261.9377,1500.2313
2020-11-08,401.0,876.7046,995.1884
